Call Tag,Start Time,Stop Time,From,To,Duration,Call Direction,Call Type,Amount
7922,03/16/12 01:13:12,03/16/12 01:13:45,3124706655,011442071777272,0.600000000,0,INTL,0.02
7931,03/16/12 01:13:25,03/16/12 01:13:45,3124706655,011442071777272,0.400000000,0,INTL,0.02
7940,03/16/12 01:13:35,03/16/12 01:13:44,3124706655,011442071777272,0.200000000,0,INTL,0.02
7941,03/16/12 01:13:35,03/16/12 01:13:44,3124706655,011442071777272,0.200000000,0,INTL,0.02
7942,03/16/12 01:13:35,03/16/12 01:13:43,3124706655,011442071777272,0.200000000,0,INTL,0.02
7944,03/16/12 01:13:36,03/16/12 01:13:42,3124706655,011442071777272,0.100000000,0,INTL,0.02
8158,03/16/12 01:17:36,03/16/12 01:17:48,3124706655,011994400120000,0.200000000,0,INTL,0.22
8470,03/16/12 01:24:03,03/16/12 01:24:04,3124706655,011442071777272,0.100000000,0,INTL,0.02
8492,03/16/12 01:24:45,03/16/12 01:25:09,3124706655,01137390002510,0.400000000,0,INTL,0.28
8569,03/16/12 01:26:29,03/16/12 01:26:59,3124706655,01137390002102,0.500000000,0,INTL,0.28
8655,03/16/12 01:28:24,03/16/12 01:28:41,3124706655,01117675030200,0.300000000,0,INTL,0.00
8682,03/16/12 01:28:43,03/16/12 01:28:49,3124706655,01137259188100,0.100000000,0,INTL,0.34
8806,03/16/12 01:30:30,03/16/12 01:30:46,3124706655,0119609002000600,0.300000000,0,INTL,0.47
8824,03/16/12 01:31:00,03/16/12 01:31:17,3124706655,0119609002000600,0.300000000,0,INTL,0.47
8902,03/16/12 01:32:53,03/16/12 01:33:04,3124706655,0119609002000257,0.200000000,0,INTL,0.47
8940,03/16/12 01:33:53,03/16/12 01:33:53,3124706655,01137090201101,0,0,INTL,0.00
8983,03/16/12 01:34:39,03/16/12 01:35:38,3124706655,011212892016200,1.000000000,0,INTL,0.31
9230,03/16/12 01:40:01,03/16/12 01:40:01,3124706655,01150588921300,0,0,INTL,0.00
9294,03/16/12 01:41:12,03/16/12 01:41:37,3124706655,01117675034920,0.500000000,0,INTL,0.00
9334,03/16/12 01:41:48,03/16/12 01:41:52,3124706655,011994400120000,0.100000000,0,INTL,0.22
9362,03/16/12 01:42:20,03/16/12 01:42:20,3124706655,01137052654152,0,0,INTL,0.00
9504,03/16/12 01:45:02,03/16/12 01:45:16,3124706655,0119609001640,0.300000000,0,INTL,0.47
9553,03/16/12 01:46:01,03/16/12 01:46:02,3124706655,01137037368610,0.100000000,0,INTL,0.12
9610,03/16/12 01:48:01,03/16/12 01:48:12,3124706655,011355681846003,0.200000000,0,INTL,0.21
9641,03/16/12 01:48:28,03/16/12 01:48:32,3124706655,011994557396300,0.100000000,0,INTL,0.24
9658,03/16/12 01:48:55,03/16/12 01:49:04,3124706655,011994500073014,0.200000000,0,INTL,0.24
9671,03/16/12 01:49:16,03/16/12 01:49:21,3124706655,011994559000244,0.100000000,0,INTL,0.24
9718,03/16/12 01:50:17,03/16/12 01:50:36,3124706655,01138730201297,0.400000000,0,INTL,0.19
9857,03/16/12 01:54:02,03/16/12 01:54:26,3124706655,01137745598028,0.400000000,0,INTL,0.28
9996,03/16/12 01:57:51,03/16/12 01:58:01,3124706655,01137745598028,0.200000000,0,INTL,0.28
10011,03/16/12 01:58:12,03/16/12 01:58:17,3124706655,01137745598028,0.100000000,0,INTL,0.28
10256,03/16/12 02:02:51,03/16/12 02:03:01,3124706655,01137745302726,0.200000000,0,INTL,0.28
10896,03/16/12 02:22:19,03/16/12 02:22:25,3124706655,01150588916000,0.100000000,0,INTL,0.42
10905,03/16/12 02:22:34,03/16/12 02:22:42,3124706655,011381608013823,0.200000000,0,INTL,0.33
11058,03/16/12 02:27:48,03/16/12 02:27:59,3124706655,0112289675001,0.200000000,0,INTL,0.26
11226,03/16/12 02:32:03,03/16/12 02:32:17,3124706655,01137745302726,0.300000000,0,INTL,0.28
11237,03/16/12 02:32:28,03/16/12 02:32:49,3124706655,011442033181236,0.400000000,0,INTL,0.02
11295,03/16/12 02:34:11,03/16/12 02:34:16,3124706655,011442033181236,0.100000000,0,INTL,0.02
11378,03/16/12 02:38:18,03/16/12 02:47:13,3124706655,01137745302733,9.000000000,0,INTL,5.04
11384,03/16/12 02:38:28,03/16/12 02:47:13,3124706655,01137745302733,8.800000000,0,INTL,4.93
11401,03/16/12 02:39:05,03/16/12 02:46:02,3124706655,01137745302733,7.000000000,0,INTL,3.92
11406,03/16/12 02:39:09,03/16/12 02:52:42,3124706655,01137745302733,13.600000000,0,INTL,7.61
11400,03/16/12 02:39:10,03/16/12 02:46:02,3124706655,01137745302733,6.900000000,0,INTL,3.86
11423,03/16/12 02:39:24,03/16/12 02:54:42,3124706655,01137745302733,15.300000000,0,INTL,8.56
11422,03/16/12 02:39:25,03/16/12 02:52:42,3124706655,01137745302733,13.300000000,0,INTL,7.44
11424,03/16/12 02:39:25,03/16/12 02:54:42,3124706655,01137745302733,15.300000000,0,INTL,8.56
11425,03/16/12 02:39:26,03/16/12 02:55:06,3124706655,01137745302733,15.700000000,0,INTL,8.79
11426,03/16/12 02:39:27,03/16/12 02:55:06,3124706655,01137745302733,15.700000000,0,INTL,8.79
